Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_072.jpg,0,0,1,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_101.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_151.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_200.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_251.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_301.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_351.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_401.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_451.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_501.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_551.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_601.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_651.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_701.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
/Users/Joseph/Desktop/IMG/robocam_2017_05_25_11_31_09_751.jpg,0,0,0,0,99.66999,85.58897,0.000235427,56.82555,1.396749E-07
